,latitude,longitude,time,date,speed,course,lat_dir,long_dir
2390,30.62426538,-86.28516393,13:48:58.900000,2023-03-16,5.974939591972876,2.719927168067268,N,W
2391,30.62426044,-86.2851614,13:48:59,2023-03-16,5.987535685771901,2.7238022706381053,N,W
2392,30.6242555,-86.28515887,13:48:59.100000,2023-03-16,6.004767473657077,2.7258490967527655,N,W
2393,30.6242506,-86.28515629,13:48:59.200000,2023-03-16,5.989352430684055,2.715186454977934,N,W
2394,30.62424568,-86.28515377,13:48:59.300000,2023-03-16,5.960721270523308,2.721960348500698,N,W
2395,30.62424076,-86.28515128,13:48:59.400000,2023-03-16,5.943937487444665,2.7298404662168188,N,W
2396,30.62423585,-86.28514873,13:48:59.500000,2023-03-16,5.9576953860150486,2.7242280210065415,N,W
2397,30.62423097,-86.28514618,13:48:59.600000,2023-03-16,5.946531792183574,2.7199060162793005,N,W
2398,30.62422602,-86.28514371,13:48:59.700000,2023-03-16,5.983688697685567,2.731495185744695,N,W
2399,30.62422112,-86.28514121,13:48:59.800000,2023-03-16,5.943162014182182,2.729348283142921,N,W
2400,30.62421623,-86.28513868,13:48:59.900000,2023-03-16,5.929669048908295,2.7187556904511103,N,W
2401,30.62421133,-86.28513618,13:49:00,2023-03-16,5.94111820348493,2.724387170722239,N,W
2402,30.62420642,-86.28513371,13:49:00.100000,2023-03-16,5.925843492346469,2.7289646072816645,N,W
2403,30.62420149,-86.28513127,13:49:00.200000,2023-03-16,5.9076183087756275,2.737809242776151,N,W
2404,30.6241966,-86.28512877,13:49:00.300000,2023-03-16,5.935562656119637,2.7313445780003707,N,W
2405,30.62419171,-86.28512625,13:49:00.400000,2023-03-16,5.916337157457222,2.717275990167263,N,W
2406,30.6241868,-86.28512385,13:49:00.500000,2023-03-16,5.888116807901232,2.7408855423289764,N,W
2407,30.62418193,-86.28512137,13:49:00.600000,2023-03-16,5.874726548592369,2.727650169078664,N,W
2408,30.624177,-86.28511891,13:49:00.700000,2023-03-16,5.944007909039489,2.7322839348589043,N,W
2409,30.62417211,-86.28511648,13:49:00.800000,2023-03-16,5.925614179091481,2.7416069175431708,N,W
2410,30.62416721,-86.28511402,13:49:00.900000,2023-03-16,5.893555933059175,2.7302297166568836,N,W
2411,30.62416233,-86.28511152,13:49:01,2023-03-16,5.899655139682827,2.7222936977722756,N,W
2412,30.62415746,-86.28510903,13:49:01.100000,2023-03-16,5.893803736896997,2.729240833868964,N,W
2413,30.6241526,-86.2851066,13:49:01.200000,2023-03-16,5.882429586371348,2.734810544313873,N,W
2414,30.62414771,-86.2851042,13:49:01.300000,2023-03-16,5.899643427745273,2.74140794839767,N,W
2415,30.62414283,-86.28510172,13:49:01.400000,2023-03-16,5.9250563124091915,2.729376033479652,N,W
2416,30.62413795,-86.28509925,13:49:01.500000,2023-03-16,5.9191079918786755,2.730061834407244,N,W
2417,30.62413306,-86.28509677,13:49:01.600000,2023-03-16,5.901112846159782,2.7321935740163537,N,W
2418,30.62412821,-86.28509431,13:49:01.700000,2023-03-16,5.884507381801556,2.7248479035195694,N,W
2419,30.62412336,-86.28509183,13:49:01.800000,2023-03-16,5.884252525134268,2.723710358822832,N,W
